F59;Landhotel De Borken;7991 PJ;Lhee 76;Dwingeloo;Drenthe;0521-597200;info@hoteldeborken.nl
F60;Hotel-Resort Spaarnwoude;1981 LR;Oostbroekerweg 17;Velsen-Zuid;Noord-Holland;023-5370548;info@hotelresortspaarnwoude.nl
F61;Hotel-Restaurant Nieuwvliet Bad;4504 RX;Zouterik 2;Nieuwvliet-Bad;Zeeland;0117-372020;info@hotelnieuwvlietbad.nl
F62;Hotel-Restaurant Duinzicht;3253 LL;Oud Nieuwlandseweg 13;Ouddorp;Zuid-Holland;0187-680000;info@fletcherhotelduinzicht.nl
F63;Hotel-Restaurant Het Witte Huis;3768HN;Birkstraat 138;Soest;Utrecht;033-4328255;info@fletcherhotelhetwittehuis.nl
F64;Hotel-Restaurant Elzenduin;2684 VT;Strandweg 18;Ter Heijde;Zuid-Holland;0174-214200;info@hotelelzenduin.nl
F70;Fletcher Hotel Amsterdam;1105AT;Schepenbergweg 50 ;Amsterdam;Noord-Holland;020-3113670;info@fletcherhotelamsterdam.nl
F71;Landgoedhotel Renesse;4325 BC;Stoofwekken 5;Renesse;Zeeland;0111-461788;info@fletcherlandgoedhotelrenesse.nl
F72;Hotel-Restaurant Apeldoorn;7313EH;Soerenseweg 73;Apeldoorn;Gelderland;055-3554555;info@hotelapeldoorn.nl
F73;Hotel-Restaurant 's-Hertogenbosch;5245NH;Burg Burgerslaan 50;s-Hertogenbosch-Rosmalen;Noord-Brabant;073-5219159;info@fletcherhotelshertogenbosch
F74;Hotel-Restaurant Trivium;4873LP;Trivium 72;Etten-Leur;Noord-Brabant;076-5010041;info@fletcherhoteltrivium.nl
F76;Parkhotel Val Monte;6572AA; Oude Holleweg 5;Berg en Dal;Gelderland;024-6842000;info@parkhotelvalmonte.nl
F77;Hotel-Restaurant Jan van Scorel;1871ED;Heereweg 89;Schoorl;Noord-Holland;0725-094444;info@fletcherhoteljanvanscorel.nl
F78;Hotel-Restaurant Nieuwegein-Utrecht;3435SB;Buizerdlaan 10;Nieuwegein;Utrecht;030-6044844;info@fletcherhotelnieuwegein.nl
F79;Hotel-Restaurant Doorwerth-Arnhem;6865BL;Kabeljauwallee 35;Doorwerth;Gelderland;0317–319010;info@hoteldoorwerth.nl
F80;Hotel-Restaurant de Eese;8346KH;Duivenslaagte 2;de Bult;Overijssel;0521-511454;info@hoteldeeese.nl
F82;Hotel-Restaurant Leidschendam-Den Haag;2262AB;Weigelia 22;Leidschendam;Zuid-Holland;070-3209280;info@fletcherhoteldenhaag.nl
F83;Hotel-Restaurant de Wageningsche Berg ;6703DS;Generaal Foulkesweg 96;Wageningen;Gelderland;0317-495911;info@hotelwageningscheberg.nl
F84;Hotel-Restaurant Frerikshof;7103CA;Frerikshof 2;Winterswijk;Gelderland;0543-517755;info@hotelfrerikshof.nl
F85;Landgoed Hotel Avegoor;6955AG;Zutphensestraatweg 2;Ellecom;Gelderland;0313-430600;info@landgoedavegoor.nl
